DIC, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, Log(Force 1), Log(Force 2), Log(Force 3), Log(Force 4), Log(Displacement 1), Log(Displacement 2), Log(Displacement 3), Log(Displacement 4), 
Frame Id, Location u [pix], Location u [pix], Location u [pix], Location u [pix], Location v [pix], Location v [pix], Location v [pix], Location v [pix], Force 1, Force 2, Force 3, Force 4, Displacement 1, Displacement 2, Displacement 3, Displacement 4, 
, s0, s1, s2, s3, s0, s1, s2, s3, N, N, N, N, mm, mm, mm, mm, 
 ,,,,,,,,,,,,,,,,,
78,1563.428269,1561.135405,1413.740147,1404.187943,1298.179722,1484.887535,1451.885093,1294.046287,0.10389,0.0299,0.00688,0.05621,0.58443,0.62882,0.56832,0.63705, 
79,1563.746847,1561.451434,1413.74012,1404.423747,1298.25809,1484.927675,1451.751496,1294.031078,0.10883,0.0299,0.01017,0.05621,0.57983,0.62915,0.57259,0.64329, 
80,1563.45639,1561.361664,1413.744769,1404.23519,1298.722321,1485.178173,1452.102981,1294.296096,0.11047,0.02661,0.01182,0.05457,0.59495,0.64527,0.57983,0.64823, 
81,1563.91384,1561.551074,1413.876846,1404.485514,1298.680707,1485.452078,1452.219706,1294.315786,0.11047,0.02661,0.00853,0.05457,0.60844,0.65941,0.59331,0.66598, 
82,1563.552056,1561.418787,1413.647063,1404.276934,1299.110108,1485.718899,1452.206157,1294.604665,0.10883,0.02333,0.01182,0.05457,0.6183,0.66993,0.60515,0.6696, 
83,1563.899515,1561.622989,1413.737568,1404.768206,1299.141857,1486.007692,1452.483086,1294.852089,0.11376,0.02826,0.00853,0.05128,0.62323,0.67059,0.60548,0.68013, 
84,1563.842981,1561.568051,1413.677117,1404.595801,1299.322522,1486.432426,1452.606165,1295.057866,0.10883,0.0299,0.00853,0.05457,0.63014,0.68276,0.6183,0.68243, 
85,1564.102926,1561.817881,1414.031223,1404.887301,1299.448793,1486.643203,1452.64997,1294.987286,0.11212,0.02661,0.01182,0.05621,0.64165,0.69591,0.63211,0.70578, 
86,1564.028385,1561.85129,1413.943553,1404.506105,1299.499007,1486.571129,1452.660026,1294.974725,0.10883,0.02661,0.01675,0.05785,0.64461,0.70019,0.63376,0.70874, 
87,1563.847319,1561.807352,1414.076003,1404.434521,1299.850028,1486.891754,1452.99861,1295.337244,0.11376,0.02826,0.01182,0.0595,0.65316,0.71071,0.64297,0.71696, 
88,1564.117409,1562.023283,1414.246459,1404.502416,1300.124229,1487.132399,1453.169744,1295.577055,0.10883,0.02661,0.01182,0.06114,0.65513,0.71663,0.64592,0.72025, 
89,1564.279564,1562.200563,1414.467553,1404.453915,1300.315621,1487.360717,1453.329645,1295.817999,0.11212,0.0299,0.01182,0.05457,0.67092,0.72945,0.66434,0.73899, 
